district,population_5plus,population_10plus,literate_10plus,literacy_rate,male_literacy,female_literacy,rural_literacy,urban_literacy,ever_attended,enrolment_primary,enrolment_middle,enrolment_matric,enrolment_intermediate,enrolment_graduation_above,never_attended_school,dropout_5_16,out_of_school_5_16
ATTOCK,1890704,1659542,1165399,70.22,79.69,60.66,67.22,78.18,1350821,254799,120545,68621,37189,28239,539883,51281,96795
BAHAWALNAGAR,3052233,2572990,1466956,57.01,63.55,49.95,51.51,70.84,1768286,448294,174042,86397,45624,45036,1283947,113073,344881
BAHAWALPUR,3616066,3033056,1618280,53.35,59.4,47.09,44.21,67.69,1934371,492608,163590,93014,54710,81124,1681695,111783,487764
BHAKKAR,1606888,1363047,758886,55.68,66.81,43.87,52.04,71.67,928955,243902,91170,48656,25549,24029,677933,50087,154352
CHAKWAL,1508682,1333288,1037126,77.79,86.12,69.52,76.92,80.43,1182981,193050,92698,58681,32851,24187,325701,34398,60787
CHINIOT,1346961,1145954,630806,55.05,64.64,45.19,48.37,68.91,778505,196852,79384,41540,22569,21831,568456,43073,128830
DERA GHAZI KHAN,2762926,2235453,1045814,46.78,56.17,37.2,40.56,65.05,1284821,381725,123377,64996,35328,38356,1478105,85518,514965
FAISALABAD,7899874,6865192,5040010,73.41,77.34,69.11,66.02,81.03,5820738,1115324,504162,290685,170808,196671,2079136,218304,479098
GUJRANWALA,5016623,4345898,3336551,76.77,78.14,75.36,72.84,79.35,3827867,713804,341846,196552,127115,111323,1188756,154459,321967
GUJRAT,2837143,2498174,2032866,81.37,84.81,77.95,79.39,84.19,2322721,387267,189591,111082,62949,58165,514422,68301,118204
HAFIZABAD,1141590,988643,650199,65.77,70.7,60.65,61.15,73.16,754398,164980,73493,40691,24464,23613,387192,32684,78767
JHANG,2633635,2228470,1324823,59.45,69.09,49.14,54.05,73.98,1601136,409284,151301,85943,45615,40116,1032499,88279,245763
JHELUM,1219023,1081370,872137,80.65,86.55,74.53,78.27,84.41,999332,158648,77791,46400,28324,23855,219691,27742,42117
KASUR,3447800,2934580,1844344,62.85,67.97,57.44,60.27,68.6,2194254,520721,222667,135694,70151,63892,1253546,100801,274362
KHANEWAL,2888710,2456148,1497449,60.97,69.26,52.18,56.27,77.56,1778384,424478,176089,95609,45616,37009,1110326,91465,270019
KHUSHAB,1293611,1129307,706088,62.52,75.59,49.03,58.6,72.7,836456,178786,73974,43381,22583,20322,457155,35345,84809
LAHORE,11151025,9746671,7760203,79.62,81.41,77.59,79.62,,8628495,1397394,690450,445261,325401,407621,2522530,295453,718199
LAYYAH,1771519,1497639,926057,61.83,70.91,52.21,58.67,75.13,1128983,301944,110139,57324,32491,35675,642536,58292,145207
LODHRAN,1647480,1385693,716142,51.68,60.63,42.12,48.4,67.34,871116,228048,80099,46776,22450,20972,776364,57911,214246
MANDI BAHAUDDIN,1579976,1371605,963813,70.27,74.89,65.7,67.71,81.23,1116321,219727,98809,56674,31676,27815,463655,44809,110399
MIANWALI,1550118,1341380,843309,62.87,77.58,47.63,60.44,72.18,977502,200991,98814,53796,28878,22408,572616,39701,128246
MULTAN,4610487,3942603,2421172,61.41,67.28,55.27,49.35,74.55,2839095,622506,252186,150381,88464,101506,1771392,137809,475376
MUZAFFARGARH,4138313,3394476,1628943,47.99,55.95,39.72,44.05,64.06,1973302,577977,195779,103068,58643,56171,2165011,143107,710633
NANKANA SAHIB,1409245,1206271,761403,63.12,68.38,57.63,59.86,75.86,911753,212865,89505,48746,28306,25263,497492,38983,108439
NAROWAL,1686029,1455970,1096110,75.28,79.89,70.49,73.83,81.77,1285365,258009,126386,78209,44850,37380,400664,42997,79034
OKARA,2992955,2544906,1533378,60.25,66.52,53.71,53.88,72.36,1847093,459680,170929,98070,53035,50674,1145862,94496,264889
PAKPATTAN,1795762,1521954,869422,57.13,64.7,49.27,53.0,71.12,1070376,279120,104440,50600,27787,25116,725386,65804,176009
RAHIM YAR KHAN,4677514,3877479,1858774,47.94,55.14,40.15,40.22,70.7,2247306,605139,198592,110491,55796,58160,2430208,135730,781930
RAJANPUR,1891721,1507085,543915,36.09,43.68,28.18,27.39,57.42,684283,226342,71503,38560,21095,22076,1207438,44684,442819
RAWALPINDI,5337821,4696941,3909007,83.22,87.9,78.36,80.66,84.41,4432758,694957,347085,208687,155233,183941,905063,120677,239415
SAHIWAL,2454662,2105939,1364032,64.77,71.06,58.29,59.69,78.6,1585191,342176,147106,83448,44486,42015,869471,71089,209761
SARGODHA,3734915,3237620,2160405,66.73,73.63,59.62,60.61,76.82,2564735,551316,244408,127305,76431,80726,1170180,107874,226673
SHEIKHUPURA,3445605,2962186,2040443,68.88,72.09,65.46,65.24,74.65,2363139,502967,215973,132833,75653,66249,1082466,98973,262076
SIALKOT,3865938,3356203,2630257,78.37,80.24,76.5,75.94,83.31,3083599,593148,279261,166297,110467,104949,782339,92136,153560
TOBA TEK SINGH,2200639,1902553,1358123,71.38,76.37,66.13,68.3,81.82,1581424,318388,142580,77256,43780,39963,619215,66496,142390
VEHARI,2919141,2487435,1470060,59.1,66.43,51.57,54.73,73.61,1732796,405216,161701,83366,46175,43628,1186345,93356,307383
